study_id	lineage	parent	type	general_hypothesis	detailed_hypothesis	experiment_note	exp_ids	best_comp	n_hpo	confirmed	conclusion	scientific_conclusion	best_commit	best_exp_id	provenance
S01	training-optimization	-	tune	Within a fixed wall-clock budget, throughput and a real anneal schedule matter more than any single hyperparameter, so mixed-precision + larger batch + cosine anneal + weight EMA should dominate the naive baseline.	bf16 AMP raises throughput (more steps/hr), batch 32 stabilises the gradient, a warmup-cosine schedule gives a genuine late-training anneal, and a weight EMA (decay 0.995) averages away late-training noise on the honest metrics.	bf16 AMP + bs32 + lr4e-4 + warmup-cosine + EMA0.995 + wd1e-4 (tuned across E0b/E0c/E14/E16/E17/E19/E21/E79/E82/E91).	E0b,E0c,E14,E15,E16,E17,E19,E20,E21,E79,E82,E91	1.52->2.21(old-metric era)	9	yes	PASS. The optimisation envelope is fully mapped: lr4e-4/EMA0.995/wd1e-4/1-epoch-warmup/bs32 are each a mapped optimum; off-optimum settings U-turn. This is the foundation every later study builds on.	fef2779	E16	reconstructed
S02	coarse-ray-reasoning	S01	new	Layout rays that only read audio independently cannot enforce a globally consistent scene; letting the coarse rays exchange information should improve global layout.	A ray<->ray global self-attention over the 16x32 coarse ray grid (512 tokens) lets layout rays reason jointly after reading audio, before decoding to finer scales.	Add one global self-attention block on the 16x32 coarse grid.	E22,E23,E24,E25,E26	2.209	3	no	PASS. Coarse ray<->ray self-attention was the first architectural win (E22). Capacity saturates immediately: depth (E23), heads (E25), mid-scale/global (E24/E26) add nothing or bust budget.	(pre-fef2779 lineage)	E22	reconstructed
S03	geometry-aware-reasoning	S02	refine	Ray-pair interactions on a sphere are governed by angular geometry, so making the coarse self-attention geometry-aware should help more than plain attention.	Add a learned per-head bias on the cos angular distance between every ray pair to the coarse self-attention logits (geometry-biased attention).	Add cos-angular-distance bias MLP to the coarse self-attention.	E27,E28	2.201	2	no	PASS. Geometry bias helped (E27). Enriching with absolute elevation (E28) biased toward the gamed ABS_REL and lost the honest metrics -> keep the minimal geometric feature at this stage.	(pre-fef2779 lineage)	E27	reconstructed
S04	post-fusion-geometry	S03	new	Global spatial reasoning may be most effective AFTER local acoustic evidence and encoder detail have been fused into a coherent coarse scene, not on raw ray tokens.	Apply stacked geometry-aware ray self-attention (rsa16b) to the FUSED coarse representation m16 (post encoder-skip), with progressively richer geometric features (cos-dist, elevation, wrapped azimuth).	Two geometry-aware self-attn blocks on fused m16, geom feats = [cosd, elev_i, elev_j, cos(daz), sin(daz)].	E50,E51,E52,E54,E56,E57,E58,E59,E67	2.107	7	yes(E60)	PASS but PARTLY NOISE. Post-fusion geometry reopened the frontier (E50/E51 real). Later micro-wins (E56/E57) were within noise: the E60 confirmation rerun of E57 came out 0.027 WORSE, revealing true sigma~0.019 on a single pair and that recent sub-0.015 gains were not distinguishable. Depth saturates at 2 blocks.	(pre-fef2779 lineage)	E51	reconstructed
S05	decoder-fusion-skip-modulation	S01	new	The decoder should admit encoder detail selectively per scale rather than adding all skip features uniformly.	Gate the DPT encoder skips (g4/g3): the ray features decide via a sigmoid gate how much encoder detail to admit at each scale.	Gated DPT skips at 16x32 and 32x64.	E29,E30,E31,E43,E44,E63,E64,E65,E66	2.093	5	yes(E71,E78)	PASS. Gated skips helped (E29). Dropping the finest F64 cross-attn (E65) was a major efficiency win (549->380s/ep, VRAM 30->17.5GB, more anneal epochs). FiLM audio modulation (E44/E63) and learned full-decode (E64/E66) are neutral or budget-busting -> resolution/audio-modulation not the bottleneck.	(pre-fef2779 lineage)	E65	reconstructed
S06	depth-objective	S01	tune	The dense MAE alone under-weights the metrics that matter; auxiliary loss terms aligned with the eval metrics may help, but any term that directly optimises an honest metric will game it.	Add a relative-error term (targets ABS_REL), a coarse-layout term, a low-pass smoothness term, and a light edge/gradient term; test SILog, berHu, log-depth, Charbonnier, per-sample normalisation.	Composite = MAE + 0.1*rel + 1.0*coarse + 0.5*low + 0.05*grad; sweep alternatives.	E1,E2,E4,E5,E6,E7,E8,E11,E12,E32,E33,E34,E35,E38,E39,E40,E46,E62,E114,E117,E118	2.189	7	yes(E36)	PASS(partial). rel(w=0.1) + light grad(0.05) + load-bearing coarse/low aux terms are the tuned objective. berHu/SILog/log-depth/Charbonnier/per-sample-norm are FRONTIER SLIDES (trade ABS_REL<->RMSE within noise). Dropping aux losses (E62) costs 0.070 -> coarse+low are load-bearing for the honest metrics.	(pre-fef2779 lineage)	E34	reconstructed
S07	acoustic-representation	S01	new	The binaural spatial cues fed to the network may be improvable, but the STFT+cue construction lives in the fixed prepare.py so only coarse choices (in_ch, augmentation, positional info) are currently testable.	Test in_ch in {2,3,5}, drop IPD phase feats, add CoordConv/positional embeddings/SH/mic PE, and input level-jitter augmentation.	Vary in_ch flag; add coord/PE features; level-jitter aug.	E70,E74,E80,E81,E108,E109	-	3	no	FAIL (informative). 5ch [logL,logR,ILD,cosIPD,sinIPD] is optimal: dropping IPD phase costs 0.055 (phase encodes direction), absolute level is a LOAD-BEARING depth cue (jitter costs 0.081), and explicit positional info (CoordConv/SH/mic/learned PE) is neutral-to-harmful (conv encoder captures position). Representation search is gated by prepare.py -> see PROPOSAL-01.	fef2779	-	reconstructed
S08	capacity-resolution	S01	tune	If the model were capacity- or resolution-limited, widening/deepening or higher-res decode would help.	Widen dim 192->256, deepen attention, learned high-res decode, bottleneck refine, encoder positional embeddings.	dim/heads/decoder-resolution/encoder sweeps.	E9,E10,E37,E41,E53,E64,E66,E68,E77	-	5	no	FAIL. The model is NOT capacity- or resolution-limited (E68 wider worse; E66 higher-res worse). It is anneal-limited and ultimately audio->depth-information-limited. Heavy capacity busts the 1-hour budget -> fewer epochs -> auto-loses.	fef2779	-	reconstructed
S09	simplification	S05	refine	Removing provably-dead or redundant modules should be free or better, and simpler is preferred on ties.	Drop the dead g2 gate, the vestigial F64 modules, the SwiGLU class, and the vestigial pix2pix encoder tail e5-e8 (never reached by forward).	Remove dead code; verify output-equivalence modulo init-RNG.	E86,E87,E88,E116	2.086	0	no	PASS. E116 dropped the pix2pix encoder tail (24.47->7.69M params, -69%) provably output-equivalent. Pure simplification win; became the pre-TTA base champion fef2779.	fef2779	E116	reconstructed
S10	geometry-cross-attn	S04	new	The geometry-aware reasoning that helped ray<->ray self-attention might also help the ray<->audio CROSS-attention, since at the coarse scale the ray queries and the e4 audio tokens share the same 16x32 ERP grid.	A GeoCrossBlock adds a learned angular-distance bias between the ray-query direction and the audio-token direction so each coarse ray reads the geometrically-relevant audio tokens (cr16); tested deeper (E124) and at the 32x64 scale (E123).	Replace cr16 CrossBlock with a geometry-biased GeoCrossBlock.	E121,E122,E123,E124,E125	2.088(2 draws);3-draw mean 2.097	0	yes(E125,DISCONFIRMED)	FAIL (critical, informative). E121/E122 looked like a 0.010 win on two low draws and was crowned, but the E125 third draw (2.1132) pulled the 3-draw mean to 2.097 == old baseline 2.099. Geometry-cross-attn is WITHIN NOISE. Extending to 32x64 busts budget (E123, 784s/ep); deeper saturates (E124). LESSON (repeat of E60): never crown a sub-0.015 candidate on <3 confirming draws.	fef2779(reverted)	-	reconstructed
